timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673431529994,6280,HTTP Request,200,OK,AchomkaOffer 1-12,text,true,,2796,114,266,266,https://carnesia.com/,6280,0,6030
1673431530215,6059,HTTP Request,200,OK,AchomkaOffer 1-591,text,true,,2782,114,266,266,https://carnesia.com/,6059,0,5794
1673431530346,5928,HTTP Request,200,OK,AchomkaOffer 1-762,text,true,,2786,114,266,266,https://carnesia.com/,5928,0,5678
1673431530120,6154,HTTP Request,200,OK,AchomkaOffer 1-359,text,true,,2784,114,266,266,https://carnesia.com/,6154,0,5910
1673431530605,5670,HTTP Request,200,OK,AchomkaOffer 1-878,text,true,,2786,114,265,265,https://carnesia.com/,5669,0,5416
1673431530114,6161,HTTP Request,200,OK,AchomkaOffer 1-403,text,true,,2786,114,265,265,https://carnesia.com/,6160,0,5908
1673431530700,5575,HTTP Request,200,OK,AchomkaOffer 1-943,text,true,,2782,114,264,264,https://carnesia.com/,5574,0,5317
1673431530355,5920,HTTP Request,200,OK,AchomkaOffer 1-534,text,true,,2783,114,262,262,https://carnesia.com/,5920,0,5672
1673431530188,6087,HTTP Request,200,OK,AchomkaOffer 1-414,text,true,,2788,114,262,262,https://carnesia.com/,6087,0,5756
1673431530678,5597,HTTP Request,200,OK,AchomkaOffer 1-855,text,true,,2790,114,262,262,https://carnesia.com/,5597,0,5361
1673431530099,6176,HTTP Request,200,OK,AchomkaOffer 1-386,text,true,,2784,114,262,262,https://carnesia.com/,6176,0,5924
1673431530461,5815,HTTP Request,200,OK,AchomkaOffer 1-671,text,true,,2788,114,261,261,https://carnesia.com/,5814,0,5534
1673431530730,5546,HTTP Request,200,OK,AchomkaOffer 1-975,text,true,,2786,114,261,261,https://carnesia.com/,5545,0,5204
1673431530429,5847,HTTP Request,200,OK,AchomkaOffer 1-626,text,true,,2784,114,260,260,https://carnesia.com/,5847,0,5513
